track_id,name,artists,album,release_date,duration_ms,explicit,popularity,preview_url,spotify_url
249gnXrbfmV8NG6jTEMSwD,Life Goes On,BTS,BE,2020-11-20,207481,False,2,,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
5NeBu4oKweDXIjhvYqtbLo,Hackearam-Me,"Tierry, Marília Mendonça",Hackearam-Me,2020-11-12,209250,False,0,,https://open.spotify.com/track/5NeBu4oKweDXIjhvYqtbLo
1DyuiZ9vg4VZUZjiPEJHoG,Domingando - Ao Vivo,Thiaguinho,Tardezinha No Maraca (Ao Vivo),2020-10-15,223272,False,61,,https://open.spotify.com/track/1DyuiZ9vg4VZUZjiPEJHoG
1sTVKLLFDfAfowsG4bRBN4,Faz a Pose,"MC Teteu, MC Ks, Dj Serpinha",Faz a Pose,2020-09-06,135732,True,58,,https://open.spotify.com/track/1sTVKLLFDfAfowsG4bRBN4
2FVpOsjT1iquZ3SpCjZ9Ne,Telepathy,BTS,BE,2020-11-20,202313,False,0,,https://open.spotify.com/track/2FVpOsjT1iquZ3SpCjZ9Ne
1wsL4Lgoo27ETnLt6svbnT,Senta no Fazendeiro,Mc Jacaré,Senta no Fazendeiro,2019-07-01,146233,False,47,,https://open.spotify.com/track/1wsL4Lgoo27ETnLt6svbnT
4saklk6nie3yiGePpBwUoc,Dynamite,BTS,BE,2020-11-20,199053,False,5,,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
2Z8yfpFX0ZMavHkcIeHiO1,Monster (Shawn Mendes & Justin Bieber),"Shawn Mendes, Justin Bieber",Monster,2020-11-20,178994,False,69,,https://open.spotify.com/track/2Z8yfpFX0ZMavHkcIeHiO1
3QH8rQGNFX8VLbCgZ7uPTS,Fly To My Room,BTS,BE,2020-11-20,222242,False,0,,https://open.spotify.com/track/3QH8rQGNFX8VLbCgZ7uPTS
7LAqIzg7r71bmfGzviayG3,Ménage,"MC JottaPê, Tainá Costa, POCAH",Ménage,2020-11-20,134400,False,27,,https://open.spotify.com/track/7LAqIzg7r71bmfGzviayG3
